f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44
2,1,2,2,3,3,3,2,2,2,3,3,1,5,4,3,5,4,3,3,5,3,3,6,4,3,4,5,4,6,5,4,3,4,5,3,4,2,6,5,6,5,1,5
2,1,2,2,3,3,3,3,2,2,3,4,1,5,4,4,5,4,4,4,5,3,2,6,5,5,4,6,4,6,5,4,3,4,5,3,4,3,6,5,6,5,2,6
2,1,2,3,3,3,3,3,2,2,3,4,1,3,4,4,5,4,4,4,5,3,3,6,5,5,4,6,4,6,5,5,3,4,5,2,4,4,6,5,6,5,3,5
2,0,3,4,2,3,3,3,2,2,3,4,2,2,4,4,5,3,4,4,5,3,3,6,5,5,4,6,4,6,5,5,3,4,5,2,4,4,6,5,6,5,4,6
2,2,4,4,4,2,3,3,2,2,4,4,3,3,4,4,5,3,3,3,5,3,3,6,5,5,5,6,4,5,5,5,4,4,4,2,4,4,6,4,6,5,5,5
3,1,4,3,4,3,3,3,2,2,4,4,3,4,4,5,5,3,2,2,5,4,4,6,5,5,5,5,4,6,5,5,4,3,5,2,4,5,6,4,6,5,6,6
3,3,4,4,4,4,3,3,2,3,4,3,3,4,4,4,5,3,3,3,5,4,4,6,4,5,5,6,4,6,5,5,3,4,5,3,4,5,6,3,6,5,6,5
2,3,4,4,4,4,3,3,2,3,5,3,4,4,4,4,5,2,4,4,6,5,3,6,5,5,5,6,4,6,5,6,3,4,5,3,4,6,6,5,5,5,6,6
3,3,4,4,5,4,3,3,2,3,5,2,5,4,4,4,5,2,4,4,5,5,5,6,5,5,5,6,4,6,5,6,3,4,5,2,4,5,6,5,6,5,6,6
4,0,4,5,4,4,3,3,2,3,6,3,4,5,4,4,5,3,4,4,5,5,6,6,5,5,5,6,4,6,5,6,3,4,5,3,4,5,6,5,6,6,6,6
